Residence,Region,Sub-Region,Period,Exhibition
"Korea,Republic of",Asia,,2011-04,0
India,Asia,,2011-04,0
Middle East,Asia,,2011-05,0
Belgium,Europe,,2011-05,0
"Others, America",America,,2011-05,0
Argentina,America,,2011-05,0
Brazil,America,,2011-05,0
Mexico,America,,2011-05,0
United States of America,America,,2011-05,0
Canada,America,,2011-05,0
"Others, Asia",Asia,,2011-05,0
"Others, Southeast Asia",Asia,Southeast Asia,2011-05,0
Thailand,Asia,Southeast Asia,2011-05,0
Philippines,Asia,Southeast Asia,2011-05,0
Indonesia,Asia,Southeast Asia,2011-05,0
Singapore,Asia,Southeast Asia,2011-05,0
France,Europe,,2011-05,0
Germany,Europe,,2011-05,0
Italy,Europe,,2011-05,0
Netherlands,Europe,,2011-05,0
Unstated,,,2011-05,0
"Others, Africa",Africa,,2011-05,0
S. Africa,Africa,,2011-05,0
"Others, Oceania",Oceania,,2011-05,0
New Zealand,Oceania,,2011-05,0
Australia,Oceania,,2011-05,0
Malaysia,Asia,Southeast Asia,2011-05,0
"Others, Europe",Europe,,2011-05,0
Sweden,Europe,,2011-05,0
Greece,Europe,,2011-05,0
Austria,Europe,,2011-05,0
United Kingdom,Europe,,2011-05,0
Spain,Europe,,2011-05,0
Switzerland,Europe,,2011-05,0
Russian Federation,Europe,,2011-05,0
India,Asia,,2011-05,0
"Korea,Republic of",Asia,,2011-05,0
Japan,Asia,,2011-05,0
Mainland China,Asia,,2011-05,0
HongKong. Macao,Asia,,2011-05,0
S. Africa,Africa,,2011-06,0
Canada,America,,2011-06,0
"Others, Asia",Asia,,2011-06,0
"Others, Southeast Asia",Asia,Southeast Asia,2011-06,0
Thailand,Asia,Southeast Asia,2011-06,0
Philippines,Asia,Southeast Asia,2011-06,0
Indonesia,Asia,Southeast Asia,2011-06,0
Singapore,Asia,Southeast Asia,2011-06,0
Middle East,Asia,,2011-06,0
United States of America,America,,2011-06,0
India,Asia,,2011-06,0
"Korea,Republic of",Asia,,2011-06,0
Japan,Asia,,2011-06,0
Mainland China,Asia,,2011-06,0
HongKong. Macao,Asia,,2011-06,0
Malaysia,Asia,Southeast Asia,2011-06,0
"Others, Oceania",Oceania,,2011-06,0
Mexico,America,,2011-06,0
Argentina,America,,2011-06,0
"Others, Africa",Africa,,2011-06,0
New Zealand,Oceania,,2011-06,0
Australia,Oceania,,2011-06,0
"Others, Europe",Europe,,2011-06,0
Russian Federation,Europe,,2011-06,0
Sweden,Europe,,2011-06,0
Greece,Europe,,2011-06,0
Austria,Europe,,2011-06,0
United Kingdom,Europe,,2011-06,0
Spain,Europe,,2011-06,0
Switzerland,Europe,,2011-06,0
Netherlands,Europe,,2011-06,0
Italy,Europe,,2011-06,0
Germany,Europe,,2011-06,0
France,Europe,,2011-06,0
Belgium,Europe,,2011-06,0
"Others, America",America,,2011-06,0
Brazil,America,,2011-06,0
Unstated,,,2011-06,0
"Others, Europe",Europe,,2011-07,0
Mainland China,Asia,,2011-07,0
"Others, America",America,,2011-07,0
Argentina,America,,2011-07,0
Brazil,America,,2011-07,0
Mexico,America,,2011-07,0
United States of America,America,,2011-07,0
Canada,America,,2011-07,0
Belgium,Europe,,2011-07,0
HongKong. Macao,Asia,,2011-07,0
